Zeit_s;Kraft_N;Weg_mm;Durchbiegung fm_mm;Biegespannung_MPa
0,160000;0,017568;0,000263;0,000000;0,009733
0,180000;0,035137;0,000526;0,000000;0,019466
0,200000;0,052705;0,000789;0,000000;0,029200
0,220000;0,070274;0,001051;0,000000;0,038933
0,240000;0,087842;0,001314;0,000000;0,048666
0,260000;0,105411;0,001577;0,000000;0,058399
0,280000;0,122979;0,001840;0,000000;0,068133
0,300000;0,140548;0,002103;0,000000;0,077866
0,320000;0,158116;0,002366;0,000000;0,087599
0,340000;0,175685;0,002628;0,000000;0,097332
0,360000;0,193253;0,002891;0,000000;0,107065
0,380000;0,210822;0,003154;0,000000;0,116799
0,400000;0,228390;0,003417;0,000000;0,126532
0,420000;0,245959;0,003680;0,000000;0,136265
0,440000;0,263527;0,003943;0,000000;0,145998
0,460000;0,281096;0,004205;0,000000;0,155732
0,480000;0,298664;0,004468;0,000000;0,165465
0,500000;0,316232;0,004731;0,000000;0,175198
0,520000;0,333801;0,004994;0,000000;0,184931
0,540000;0,351369;0,005257;0,000000;0,194664
0,560000;0,368938;0,005520;0,000000;0,204398
0,580000;0,386506;0,005782;0,000000;0,214131
0,600000;0,404075;0,006045;0,000000;0,223864
0,620000;0,421643;0,006308;0,000000;0,233597
0,640000;0,439212;0,006571;0,000000;0,243331
0,660000;0,456780;0,006834;0,000000;0,253064
0,680000;0,474349;0,007097;0,000000;0,262797
0,700000;0,491917;0,007359;0,000000;0,272530
0,720000;0,509486;0,007622;0,000000;0,282264
0,740000;0,527054;0,007885;0,000000;0,291997
0,760000;0,544623;0,008148;0,000000;0,301730
0,780000;0,562191;0,008411;0,000000;0,311463
0,800000;0,579760;0,008674;0,000000;0,321196
0,820000;0,597328;0,008936;0,000000;0,330930
0,840000;0,614896;0,009199;0,000000;0,340663
0,860000;0,632465;0,009462;0,000000;0,350396
0,880000;0,650033;0,009725;0,000000;0,360129
0,900000;0,667602;0,009988;0,000000;0,369863
0,920000;0,685170;0,010251;0,000000;0,379596
0,940000;0,702739;0,010513;0,000000;0,389329
0,960000;0,720307;0,010776;0,000000;0,399062
0,980000;0,737876;0,011039;0,000000;0,408795
1,000000;0,755444;0,011302;0,000000;0,418529
1,020000;0,773013;0,011565;0,000000;0,428262
1,040000;0,790581;0,011828;0,000000;0,437995
1,060000;0,808150;0,012090;0,000000;0,447728
1,080000;0,825718;0,012353;0,000000;0,457462
1,100000;0,843287;0,012616;0,000000;0,467195
1,120000;0,860855;0,012879;0,000000;0,476928
1,140000;0,878424;0,013142;0,000000;0,486661
1,160000;0,895992;0,013405;0,000000;0,496394
1,180000;0,913560;0,013667;0,000000;0,506128
1,200000;0,931129;0,013930;0,000000;0,515861
1,220000;0,948697;0,014193;0,000000;0,525594
1,240000;0,966266;0,014456;0,000000;0,535327
1,260000;0,983834;0,014719;0,000000;0,545061
1,280000;1,001403;0,014982;0,000000;0,554794
1,300000;1,018971;0,015244;0,000000;0,564527
1,320000;1,036540;0,015507;0,000000;0,574260
1,340000;1,054108;0,015770;0,000000;0,583993
1,360000;1,071677;0,016033;0,000000;0,593727
1,380000;1,089245;0,016296;0,000000;0,603460
1,400000;1,106814;0,016559;0,000000;0,613193
1,420000;1,124382;0,016821;0,000000;0,622926
1,440000;1,141951;0,017084;0,000000;0,632660
1,460000;1,159519;0,017347;0,000000;0,642393
1,480000;1,177088;0,017610;0,000000;0,652126
1,500000;1,194656;0,017873;0,000000;0,661859
1,520000;1,212224;0,018136;0,000000;0,671592
1,540000;1,229793;0,018398;0,000000;0,681326
1,560000;1,247361;0,018661;0,000000;0,691059
1,580000;1,264930;0,018924;0,000000;0,700792
1,600000;1,282498;0,019187;0,000000;0,710525
1,620000;1,300067;0,019450;0,000000;0,720259
1,640000;1,317635;0,019713;0,000000;0,729992
1,660000;1,335204;0,019975;0,000000;0,739725
1,680000;1,352772;0,020238;0,000000;0,749458
1,700000;1,370341;0,020501;0,000000;0,759192
1,720000;1,387909;0,020764;0,000000;0,768925
1,740000;1,405478;0,021027;0,000000;0,778658
1,760000;1,423046;0,021290;0,000000;0,788391
1,780000;1,440615;0,021552;0,000000;0,798124
1,800000;1,458183;0,021815;0,000000;0,807858
1,820000;1,475752;0,022078;0,000000;0,817591
1,840000;1,493320;0,022341;0,000000;0,827324
1,860000;1,510888;0,022604;0,000000;0,837057
1,880000;1,528457;0,022867;0,000000;0,846791
1,900000;1,546025;0,023129;0,000000;0,856524
1,920000;1,563594;0,023392;0,000000;0,866257
1,940000;1,581162;0,023655;0,000000;0,875990
1,960000;1,598731;0,023918;0,000000;0,885723
1,980000;1,616299;0,024181;0,000000;0,895457
2,000000;1,633868;0,024444;0,000000;0,905190
2,020000;1,651436;0,024706;0,000000;0,914923
2,040000;1,669005;0,024969;0,000000;0,924656
2,060000;1,686573;0,025232;0,000000;0,934390
2,080000;1,704142;0,025495;0,000000;0,944123
2,100000;1,721710;0,025758;0,000000;0,953856
2,120000;1,739279;0,026021;0,000000;0,963589
2,140000;1,756847;0,026283;0,000000;0,973322
2,160000;1,774416;0,026546;0,000000;0,983056
2,180000;1,791984;0,026809;0,000000;0,992789
2,200000;1,809552;0,027072;0,000000;1,002522
2,220000;1,827121;0,027335;0,000000;1,012255
2,240000;1,844689;0,027598;0,000000;1,021989
2,260000;1,862258;0,027860;0,000000;1,031722
2,280000;1,879826;0,028123;0,000000;1,041455
2,300000;1,897395;0,028386;0,000000;1,051188
2,320000;1,914963;0,028649;0,000000;1,060921
2,340000;1,932532;0,028912;0,000000;1,070655
2,360000;1,950100;0,029175;0,000000;1,080388
2,380000;1,967669;0,029437;0,000000;1,090121
2,400000;1,985237;0,029700;0,000000;1,099854
2,420000;2,002806;0,029963;0,000000;1,109588
2,440000;2,020374;0,030226;0,000000;1,119321
2,460000;2,037943;0,030489;0,000000;1,129054
2,480000;2,055511;0,030752;0,000000;1,138787
2,500000;2,073079;0,031014;0,000000;1,148520
2,520000;2,090648;0,031277;0,000000;1,158254
2,540000;2,108216;0,031540;0,000000;1,167987
2,560000;2,125785;0,031803;0,000000;1,177720
2,580000;2,143353;0,032066;0,000000;1,187453
2,600000;2,160922;0,032329;0,000000;1,197187
2,620000;2,178490;0,032591;0,000000;1,206920
2,640000;2,196059;0,032854;0,000000;1,216653
2,660000;2,213627;0,033117;0,000000;1,226386
2,680000;2,231196;0,033380;0,000000;1,236120
2,700000;2,248764;0,033643;0,000000;1,245853
2,720000;2,266333;0,033906;0,000000;1,255586
2,740000;2,283901;0,034168;0,000000;1,265319
2,760000;2,301470;0,034431;0,000000;1,275052
2,780000;2,319038;0,034694;0,000000;1,284786
2,800000;2,336607;0,034957;0,000000;1,294519
2,820000;2,354175;0,035220;0,000000;1,304252
2,840000;2,371743;0,035483;0,000000;1,313985
2,860000;2,389312;0,035746;0,000000;1,323719
2,880000;2,406880;0,036008;0,000000;1,333452
2,900000;2,424449;0,036271;0,000000;1,343185
2,920000;2,442017;0,036534;0,000000;1,352918
2,940000;2,459586;0,036797;0,000000;1,362651
2,960000;2,477154;0,037060;0,000000;1,372385
2,980000;2,494723;0,037323;0,000000;1,382118
3,000000;2,512291;0,037585;0,000000;1,391851
3,020000;2,529860;0,037848;0,000000;1,401584
3,040000;2,547428;0,038111;0,000000;1,411318
3,060000;2,564997;0,038374;0,000000;1,421051
3,080000;2,582565;0,038637;0,000000;1,430784
3,100000;2,600134;0,038900;0,000000;1,440517
3,120000;2,617702;0,039162;0,000000;1,450250
3,140000;2,635271;0,039425;0,000000;1,459984
3,160000;2,652839;0,039688;0,000000;1,469717
3,180000;2,670407;0,039951;0,000000;1,479450
3,200000;2,687976;0,040214;0,000000;1,489183
3,220000;2,705544;0,040477;0,000000;1,498917
3,240000;2,723113;0,040739;0,000000;1,508650
3,260000;2,740681;0,041002;0,000000;1,518383
3,280000;2,758250;0,041265;0,000000;1,528116
3,300000;2,775818;0,041528;0,000000;1,537849
3,320000;2,793387;0,041791;0,000000;1,547583
3,340000;2,810955;0,042054;0,000000;1,557316
