Zeit_s;Kraft_N;Weg_mm;Durchbiegung fm_mm;Biegespannung_MPa
2,380000;2,955103;0,021166;0,000000;1,054766
2,400000;2,981725;0,021356;0,000000;1,064268
2,420000;3,008348;0,021547;0,000000;1,073771
2,440000;3,034970;0,021738;0,000000;1,083273
2,460000;3,061593;0,021928;0,000000;1,092776
2,480000;3,088215;0,022119;0,000000;1,102278
2,500000;3,114838;0,022310;0,000000;1,111780
2,520000;3,141460;0,022500;0,000000;1,121283
2,540000;3,168083;0,022691;0,000000;1,130785
2,560000;3,194705;0,022882;0,000000;1,140287
2,580000;3,221328;0,023072;0,000000;1,149790
2,600000;3,247951;0,023263;0,000000;1,159292
2,620000;3,274573;0,023454;0,000000;1,168795
2,640000;3,301196;0,023644;0,000000;1,178297
2,660000;3,327818;0,023835;0,000000;1,187799
2,680000;3,354441;0,024026;0,000000;1,197302
2,700000;3,381063;0,024216;0,000000;1,206804
2,720000;3,407686;0,024407;0,000000;1,216307
2,740000;3,434308;0,024598;0,000000;1,225809
2,760000;3,460931;0,024789;0,000000;1,235311
2,780000;3,487553;0,024979;0,000000;1,244814
2,800000;3,514176;0,025170;0,000000;1,254316
2,820000;3,540799;0,025361;0,000000;1,263819
2,840000;3,567421;0,025551;0,000000;1,273321
2,860000;3,594044;0,025742;0,000000;1,282823
2,880000;3,620666;0,025933;0,000000;1,292326
2,900000;3,647289;0,026123;0,000000;1,301828
2,920000;3,673911;0,026314;0,000000;1,311331
2,940000;3,700534;0,026505;0,000000;1,320833
2,960000;3,727156;0,026695;0,000000;1,330335
2,980000;3,753779;0,026886;0,000000;1,339838
3,000000;3,780401;0,027077;0,000000;1,349340
3,020000;3,807024;0,027267;0,000000;1,358843
3,040000;3,833647;0,027458;0,000000;1,368345
3,060000;3,860269;0,027649;0,000000;1,377847
3,080000;3,886892;0,027839;0,000000;1,387350
3,100000;3,913514;0,028030;0,000000;1,396852
3,120000;3,940137;0,028221;0,000000;1,406355
3,140000;3,966759;0,028411;0,000000;1,415857
3,160000;3,993382;0,028602;0,000000;1,425359
3,180000;4,020004;0,028793;0,000000;1,434862
3,200000;4,046627;0,028984;0,000000;1,444364
3,220000;4,073249;0,029174;0,000000;1,453867
3,240000;4,099872;0,029365;0,000000;1,463369
3,260000;4,126495;0,029556;0,000000;1,472871
3,280000;4,153117;0,029746;0,000000;1,482374
3,300000;4,179740;0,029937;0,000000;1,491876
3,320000;4,206362;0,030128;0,000000;1,501379
3,340000;4,232985;0,030318;0,000000;1,510881
3,360000;4,259607;0,030509;0,000000;1,520383
3,380000;4,286230;0,030700;0,000000;1,529886
3,400000;4,312852;0,030890;0,000000;1,539388
3,420000;4,339475;0,031081;0,000000;1,548891
3,440000;4,366097;0,031272;0,000000;1,558393
3,460000;4,392720;0,031462;0,000000;1,567895
