Zeit_s;Kraft_N;Weg_mm;Durchbiegung fm_mm;Biegespannung_MPa
0,160000;0,013936;0,000213;0,000000;0,007721
0,180000;0,027872;0,000426;0,000000;0,015442
0,200000;0,041808;0,000639;0,000000;0,023162
0,220000;0,055744;0,000852;0,000000;0,030883
0,240000;0,069680;0,001065;0,000000;0,038604
0,260000;0,083616;0,001278;0,000000;0,046325
0,280000;0,097552;0,001491;0,000000;0,054046
0,300000;0,111488;0,001704;0,000000;0,061766
0,320000;0,125424;0,001917;0,000000;0,069487
0,340000;0,139360;0,002130;0,000000;0,077208
0,360000;0,153296;0,002342;0,000000;0,084929
0,380000;0,167232;0,002555;0,000000;0,092649
0,400000;0,181168;0,002768;0,000000;0,100370
0,420000;0,195104;0,002981;0,000000;0,108091
0,440000;0,209040;0,003194;0,000000;0,115812
0,460000;0,222976;0,003407;0,000000;0,123533
0,480000;0,236912;0,003620;0,000000;0,131253
0,500000;0,250848;0,003833;0,000000;0,138974
0,520000;0,264784;0,004046;0,000000;0,146695
0,540000;0,278720;0,004259;0,000000;0,154416
0,560000;0,292656;0,004472;0,000000;0,162137
0,580000;0,306592;0,004685;0,000000;0,169857
0,600000;0,320528;0,004898;0,000000;0,177578
0,620000;0,334465;0,005111;0,000000;0,185299
0,640000;0,348401;0,005324;0,000000;0,193020
0,660000;0,362337;0,005537;0,000000;0,200740
0,680000;0,376273;0,005750;0,000000;0,208461
0,700000;0,390209;0,005963;0,000000;0,216182
0,720000;0,404145;0,006176;0,000000;0,223903
0,740000;0,418081;0,006389;0,000000;0,231624
0,760000;0,432017;0,006602;0,000000;0,239344
0,780000;0,445953;0,006814;0,000000;0,247065
0,800000;0,459889;0,007027;0,000000;0,254786
0,820000;0,473825;0,007240;0,000000;0,262507
0,840000;0,487761;0,007453;0,000000;0,270228
0,860000;0,501697;0,007666;0,000000;0,277948
0,880000;0,515633;0,007879;0,000000;0,285669
0,900000;0,529569;0,008092;0,000000;0,293390
0,920000;0,543505;0,008305;0,000000;0,301111
0,940000;0,557441;0,008518;0,000000;0,308831
0,960000;0,571377;0,008731;0,000000;0,316552
0,980000;0,585313;0,008944;0,000000;0,324273
1,000000;0,599249;0,009157;0,000000;0,331994
1,020000;0,613185;0,009370;0,000000;0,339715
1,040000;0,627121;0,009583;0,000000;0,347435
1,060000;0,641057;0,009796;0,000000;0,355156
1,080000;0,654993;0,010009;0,000000;0,362877
1,100000;0,668929;0,010222;0,000000;0,370598
1,120000;0,682865;0,010435;0,000000;0,378319
1,140000;0,696801;0,010648;0,000000;0,386039
1,160000;0,710737;0,010861;0,000000;0,393760
1,180000;0,724673;0,011074;0,000000;0,401481
1,200000;0,738609;0,011286;0,000000;0,409202
1,220000;0,752545;0,011499;0,000000;0,416923
1,240000;0,766481;0,011712;0,000000;0,424643
1,260000;0,780417;0,011925;0,000000;0,432364
1,280000;0,794353;0,012138;0,000000;0,440085
1,300000;0,808289;0,012351;0,000000;0,447806
1,320000;0,822225;0,012564;0,000000;0,455526
1,340000;0,836161;0,012777;0,000000;0,463247
1,360000;0,850097;0,012990;0,000000;0,470968
1,380000;0,864033;0,013203;0,000000;0,478689
1,400000;0,877969;0,013416;0,000000;0,486410
1,420000;0,891905;0,013629;0,000000;0,494130
1,440000;0,905841;0,013842;0,000000;0,501851
1,460000;0,919777;0,014055;0,000000;0,509572
1,480000;0,933713;0,014268;0,000000;0,517293
1,500000;0,947649;0,014481;0,000000;0,525014
1,520000;0,961585;0,014694;0,000000;0,532734
1,540000;0,975521;0,014907;0,000000;0,540455
1,560000;0,989457;0,015120;0,000000;0,548176
1,580000;1,003394;0,015333;0,000000;0,555897
1,600000;1,017330;0,015546;0,000000;0,563617
1,620000;1,031266;0,015759;0,000000;0,571338
1,640000;1,045202;0,015971;0,000000;0,579059
1,660000;1,059138;0,016184;0,000000;0,586780
1,680000;1,073074;0,016397;0,000000;0,594501
1,700000;1,087010;0,016610;0,000000;0,602221
1,720000;1,100946;0,016823;0,000000;0,609942
1,740000;1,114882;0,017036;0,000000;0,617663
1,760000;1,128818;0,017249;0,000000;0,625384
1,780000;1,142754;0,017462;0,000000;0,633105
1,800000;1,156690;0,017675;0,000000;0,640825
1,820000;1,170626;0,017888;0,000000;0,648546
1,840000;1,184562;0,018101;0,000000;0,656267
1,860000;1,198498;0,018314;0,000000;0,663988
1,880000;1,212434;0,018527;0,000000;0,671708
1,900000;1,226370;0,018740;0,000000;0,679429
1,920000;1,240306;0,018953;0,000000;0,687150
1,940000;1,254242;0,019166;0,000000;0,694871
1,960000;1,268178;0,019379;0,000000;0,702592
1,980000;1,282114;0,019592;0,000000;0,710312
2,000000;1,296050;0,019805;0,000000;0,718033
2,020000;1,309986;0,020018;0,000000;0,725754
2,040000;1,323922;0,020231;0,000000;0,733475
2,060000;1,337858;0,020443;0,000000;0,741196
2,080000;1,351794;0,020656;0,000000;0,748916
2,100000;1,365730;0,020869;0,000000;0,756637
2,120000;1,379666;0,021082;0,000000;0,764358
2,140000;1,393602;0,021295;0,000000;0,772079
2,160000;1,407538;0,021508;0,000000;0,779800
2,180000;1,421474;0,021721;0,000000;0,787520
2,200000;1,435410;0,021934;0,000000;0,795241
2,220000;1,449346;0,022147;0,000000;0,802962
2,240000;1,463282;0,022360;0,000000;0,810683
2,260000;1,477218;0,022573;0,000000;0,818403
2,280000;1,491154;0,022786;0,000000;0,826124
2,300000;1,505090;0,022999;0,000000;0,833845
2,320000;1,519026;0,023212;0,000000;0,841566
2,340000;1,532962;0,023425;0,000000;0,849287
2,360000;1,546898;0,023638;0,000000;0,857007
2,380000;1,560834;0,023851;0,000000;0,864728
2,400000;1,574770;0,024064;0,000000;0,872449
2,420000;1,588706;0,024277;0,000000;0,880170
2,440000;1,602642;0,024490;0,000000;0,887891
2,460000;1,616578;0,024703;0,000000;0,895611
2,480000;1,630514;0,024915;0,000000;0,903332
2,500000;1,644450;0,025128;0,000000;0,911053
2,520000;1,658386;0,025341;0,000000;0,918774
2,540000;1,672323;0,025554;0,000000;0,926494
2,560000;1,686259;0,025767;0,000000;0,934215
2,580000;1,700195;0,025980;0,000000;0,941936
2,600000;1,714131;0,026193;0,000000;0,949657
